t,vla_S,la_S,vla_A
653,91.4153,5170.0122,94.142
654,91.4795,5165.9756,94.1197
655,91.5646,5165.4639,94.1048
656,91.5317,5171.3848,94.0877
657,91.5956,5179.2144,94.0688
658,91.6266,5188.6221,94.0547
659,91.6678,5206.3608,94.0383
660,91.6366,5213.7808,94.0337
661,91.7307,5230.6367,94.0211
662,91.807,5235.4526,94.0032
663,91.8983,5245.6978,93.9896
664,91.9653,5237.4717,93.9777
665,91.9348,5246.3979,93.9655
666,91.9531,5258.2773,93.9471
667,92.0719,5273.4917,93.9328
668,92.0082,5277.2993,93.9176
669,92.0595,5286.3447,93.9022
670,92.1117,5289.8745,93.8821
671,92.1951,5301.6953,93.8666
672,92.2302,5303.0322,93.8532
673,92.2975,5309.0713,93.8399
674,92.3601,5323.5034,93.8253
675,92.4832,5332.9438,93.8104
676,92.4997,5337.5649,93.7965
677,92.5693,5337.6821,93.7846
678,92.5857,5343.2759,93.7696
679,92.6185,5345.499,93.7539
680,92.6818,5347.2842,93.7469
681,92.827,5356.7852,93.7273
682,92.83,5361.2192,93.7117
683,92.9432,5370.9438,93.6959
684,92.9492,5372.1558,93.6809
685,92.9586,5380.1436,93.6636
686,93.1193,5392.5581,93.6458
687,93.1509,5396.5054,93.6334
688,93.2797,5413.1362,93.6203
689,93.354,5414.0483,93.6018
690,93.3608,5418.436,93.587
691,93.4904,5416.8628,93.5687
692,93.6728,5423.0366,93.5527
693,93.6785,5430.7651,93.5368
694,93.6753,5431.8838,93.5241
695,93.729,5441.0518,93.5079
696,93.729,5444.6611,93.4959
697,93.7651,5454.6284,93.4782
698,93.7805,5465.2295,93.4634
699,93.8285,5464.377,93.4495
700,93.9319,5464.0742,93.446
701,93.922,5463.2632,93.4325
702,93.9812,5467.6411,93.4212
703,94.0267,5477.3579,93.4088
704,94.0736,5496.0625,93.3943
705,94.1101,5501.1035,93.3756
706,94.1706,5515.8403,93.3633
707,94.2384,5531.7759,93.3462
708,94.2666,5543.4707,93.3257
709,94.3631,5548.7993,93.313
710,94.3699,5548.1851,93.2976
711,94.5101,5553.5625,93.2799
712,94.5668,5565.7554,93.2643
713,94.6648,5579.2603,93.2502
714,94.7518,5584.0518,93.2346
715,94.8211,5598.7964,93.2222
716,94.8774,5596.3389,93.2103
717,94.9662,5600.1929,93.2001
718,94.9951,5599.377,93.1841
719,95.0224,5603.7422,93.1656
720,95.1611,5606.7368,93.1634
721,95.1771,5607.4448,93.1503
722,95.2284,5618.1597,93.132
723,95.3448,5631.6636,93.1184
724,95.3875,5630.3125,93.104
725,95.4565,5640.5547,93.0887
726,95.479,5656.1543,93.0723
727,95.4764,5668.7324,93.0539
728,95.5582,5681.1846,93.0401
729,95.5615,5693.0762,93.0259
730,95.6348,5704.6401,93.0133
731,95.7243,5711.1216,93.0021
732,95.6996,5706.5342,92.987
733,95.7578,5719.6685,92.9717
734,95.7968,5730.7666,92.9603
735,95.8637,5729.8711,92.9424
736,95.8309,5743.3774,92.9293
737,95.9041,5751.5767,92.9146
738,96.0295,5747.4707,92.8971
739,96.0892,5757.79,92.8815
740,96.1411,5765.0337,92.8784
741,96.1872,5767.9609,92.8652
742,96.363,5782.0542,92.8512
743,96.3509,5794.3857,92.8373
744,96.3319,5799.2344,92.8254
745,96.3504,5794.8345,92.8126
746,96.4329,5809.5405,92.798
747,96.4945,5820.6084,92.7839
748,96.6621,5834.9097,92.7702
749,96.6589,5827.9019,92.7562
750,96.6873,5829.771,92.7403
751,96.6811,5836.1157,92.725
752,96.7609,5854.8291,92.7088
753,96.8395,5859.416,92.6903
754,96.9091,5854.3833,92.6778
755,96.9802,5852.1416,92.6632
756,97.077,5857.6494,92.6496
757,97.1887,5866.0557,92.6361
758,97.2535,5871.1445,92.6217
759,97.2516,5874.8843,92.6099
760,97.3313,5872.5312,92.6051
761,97.3857,5873.062,92.5906
762,97.4271,5879.8965,92.5782
763,97.4779,5895.1055,92.5663
764,97.49,5900.688,92.554
765,97.597,5918.3745,92.5381
766,97.6114,5925.9648,92.5206
767,97.7352,5932.2866,92.509
768,97.7788,5948.1016,92.4993
769,97.7981,5952.4873,92.4837
770,97.8659,5963.4165,92.4722
771,97.944,5971.6108,92.4548
772,97.959,5975.397,92.4426
773,98.034,5979.645,92.4319
774,98.0986,5973.9194,92.4194
775,98.1003,5988.9561,92.4067
776,98.1389,5994.6523,92.3922
777,98.1733,6007.4219,92.3736
778,98.2059,6018.2803,92.3597
779,98.2559,6028.73,92.3488
780,98.286,6043.9946,92.3486
781,98.2775,6062.9077,92.3387
782,98.363,6076.1431,92.3263
783,98.4874,6080.2261,92.3129
784,98.5837,6098.0483,92.2986
785,98.6369,6095.0571,92.2805
786,98.7267,6114.8853,92.269
787,98.7847,6125.1382,92.2547
788,98.7954,6134.9097,92.2421
789,98.8809,6136.3164,92.224
790,98.9124,6149.3862,92.2079
